,NAIL ART RUN GAME - ALL DESINGS,,,,,,,,,,,
,,,,,,,,,,,,
,Design Number,Design ,Color Code,Pattern Code,,,THUMB,POINTER,MIDDLE,RING,PINKY,Nail Shape
,N-100,,C1,P1,,LEVEL 1,C1-P0-D0,C1-P1-D0,C2-P2-D0,C1-P0-D0,C1-P1-D0,S1
,N-101,,C2,P2,,,,,,,,
,N-102,,C1,P3,,LEVEL 2 ,C1-P0-D0,C2-P5-D0,C1-P0-D0,C1-P4-D0,C2-P0-D0,S3
,N-103,,C1,P4,,,,,,,,
,N-104,,C2,P5,,LEVEL 3,C3-P0-D0,C3-P7-D0,C3-P9-D0,C3-P6-D0,C3-P10-D0,S3
,N-105,,C3,P6,,,,,,,,
,N-106,,C3,P7,,LEVEL 4,C4-P0-D0,C4-P0-D0,C4-P0-D0,C4-P8-D0,C4-P0-D0,S1
,N-107,,C4,P8,,,,,,,,
,N-108,,C3,P9,,LEVEL 5,C6-P0-D0,C6-P14-D0,C4-P15-D0,C6-P0-D0,C6-P12-D0,S2
,N-109,,C3,P10,,,,,,,,
,N-110,,C5,P11,,LEVEL 6,C5-P0-D0,C5-P0-D0,C5-P13-D0,C5-P11-D0,C5-P0-D0,S2
,N-111,,C6,P12,,,,,,,,
,N-112,,C5,P13,,LEVEL 7,C7-P16-D0,C7-P17-D0,C7-P18-D0,C7-P19-D0,C7-P20-D0,S3
,N-113,,C6,P14,,,,,,,,
,N-114,,C5,P15,,LEVEL 8,C8-P21-D0,C8-P25-D0,C8-P23-D0,C8-P24-D0,C8-P22-D0,S1
,N-115,,C7,P16,,,,,,,,
,N-116,,C7,P17,,LEVEL 9,C9-P0-D0,C9-P30-D0,C9-P29-D0,C9-P28-D0,C9-P27-D0,S3
,N-117,,C7,P18,,,,,,,,
,N-118,,C7,P19,,LEVEL 10,C9-P0-D0,C9-P0-D0,C9-P0-D0,C9-P26-D0,C9-P0-D0,S2
,N-119,,C7,P20,,,,,,,,
,N-120,,C8,P21,,LEVEL 11,C11-P0-D0,C11-P31-D0,C10-P32-D0,C10-P0-D0,C11-P33-D0,S3
,N-121,,C8,P22,,,,,,,,
,N-122,,C8,P23,,LEVEL 12,C12-P0-D0,C13-P34-D0,C13-P35-D0,C12-P0-D0,C12-P36-D0,S1
,N-123,,C8,P24,,,,,,,,
,N-124,,C8,P25,,LEVEL 13,C14-P0-D0,C14-P38-D0,C14-P0-D0,C14-P39-D0,"C14,P37-D0",S2
,N-125,,C9,P26,,,,,,,,
,N-126,,C9,P27,,LEVEL 14,C17-P0-D0,C17-P46-D0,C17-P0-D0,C17-P45-D0,C17-P40-D0,S3
,N-127,,C9,P28,,,,,,,,
,N-128,,C9,P29,,LEVEL 15,C16-P0-D0,C15-P40-D0,C16-P0-D0,C15-P0-D0,C16-P41-D0,S1
,N-129,,C9,P30,,,,,,,,
,N-130,,C11,P31,,,,,,,,
,N-131,,C10,P32,,,,,,,,
,N-132,,C11,P33,,,,,,,,
,N-133,,C13,P34,,,,,,,,
,N-134,,C13,P35,,,,,,,,
,N-135,,C12,P36,,,,,,,,
,N-136,,C14,P37,,,,,,,,
,N-137,,C14,P38,,,,,,,,
,N-138,,C14,P39,,,,,,,,
,N-139,,C15,P40,,,,,,,,
,N-140,,C16,P41,,,,,,,,
,N-141,,C16,P42,,,,,,,,
,N-142,,C15,P43,,,,,,,,
,N-143,,C16,P44,,,,,,,,
,N-144,,C17,P45,,,,,,,,
,N-145,,C17,P46,,,,,,,,
,N-146,,,,,,,,,,,
,N-147,,,,,,,,,,,
,N-148,,,,,,,,,,,
,N-149,,,,,,,,,,,
,N-150,,,,,,,,,,,
,N-151,,,,,,,,,,,
,N-152,,,,,,,,,,,
,N-153,,,,,,,,,,,
,N-154,,,,,,,,,,,
,N-155,,,,,,,,,,,
,N-156,,,,,,,,,,,
,N-157,,,,,,,,,,,
,N-158,,,,,,,,,,,